zone_id,hour_bucket,predicted_EIS,p_occur,zone_lat,zone_lon
12.84_77.645,2024-04-09 00:00:00+00:00,0.12659943,0.014967193,12.84,77.645
12.875_77.595,2024-04-09 00:00:00+00:00,0.08096316,0.010814893,12.875,77.595
12.87_77.655,2024-04-09 00:00:00+00:00,0.08167921,0.01130694,12.87,77.655
12.885_77.64,2024-04-09 00:00:00+00:00,0.10990251,0.013374634,12.885,77.64
12.895_77.635,2024-04-09 00:00:00+00:00,0.106208906,0.014700547,12.895,77.635
12.89_77.64,2024-04-09 00:00:00+00:00,0.07771019,0.0109728845,12.89,77.64
12.905_77.63,2024-04-09 00:00:00+00:00,0.095689066,0.011093844,12.905,77.63
12.915_77.575,2024-04-09 00:00:00+00:00,0.06860605,0.009191748,12.915,77.575
12.915_77.605,2024-04-09 00:00:00+00:00,0.023843976,0.0031549225,12.915,77.605
12.915_77.635,2024-04-09 00:00:00+00:00,0.07240458,0.011453357,12.915,77.635
12.91_77.6,2024-04-09 00:00:00+00:00,0.049515318,0.006827074,12.91,77.6
12.91_77.635,2024-04-09 00:00:00+00:00,0.06522961,0.009051726,12.91,77.635
12.91_77.64,2024-04-09 00:00:00+00:00,0.050956827,0.0070258263,12.91,77.64
12.925_77.585,2024-04-09 00:00:00+00:00,0.0937571,0.0117958775,12.925,77.585
12.925_77.62,2024-04-09 00:00:00+00:00,0.08333584,0.010060761,12.925,77.62
12.925_77.675,2024-04-09 00:00:00+00:00,0.097745985,0.013131543,12.925,77.675
12.925_77.68,2024-04-09 00:00:00+00:00,0.09263762,0.012331476,12.925,77.68
12.935_77.585,2024-04-09 00:00:00+00:00,0.10255328,0.0133037055,12.935,77.585
12.935_77.615,2024-04-09 00:00:00+00:00,1.163176,0.12833923,12.935,77.615
12.935_77.69,2024-04-09 00:00:00+00:00,0.89075804,0.045018177,12.935,77.69
12.93_77.58,2024-04-09 00:00:00+00:00,0.13078593,0.015426515,12.93,77.58
12.93_77.585,2024-04-09 00:00:00+00:00,0.12435388,0.015079312,12.93,77.585
12.93_77.68,2024-04-09 00:00:00+00:00,0.07764901,0.00982677,12.93,77.68
12.93_77.685,2024-04-09 00:00:00+00:00,0.11497568,0.012918539,12.93,77.685
12.93_77.69,2024-04-09 00:00:00+00:00,0.060506776,0.008200505,12.93,77.69
12.945_77.57,2024-04-09 00:00:00+00:00,0.21114957,0.02676547,12.945,77.57
12.945_77.595,2024-04-09 00:00:00+00:00,0.07949924,0.010808094,12.945,77.595
12.945_77.7,2024-04-09 00:00:00+00:00,0.028792698,0.0035675566,12.945,77.7
12.94_77.585,2024-04-09 00:00:00+00:00,0.1414298,0.012663633,12.94,77.585
12.94_77.695,2024-04-09 00:00:00+00:00,0.12679133,0.012550439,12.94,77.695
12.94_77.7,2024-04-09 00:00:00+00:00,0.08086822,0.010850245,12.94,77.7
12.955_77.545,2024-04-09 00:00:00+00:00,0.19787142,0.021364834,12.955,77.545
12.955_77.585,2024-04-09 00:00:00+00:00,0.10631359,0.014215528,12.955,77.585
12.955_77.7,2024-04-09 00:00:00+00:00,0.07777347,0.012005812,12.955,77.7
12.95_77.54,2024-04-09 00:00:00+00:00,0.07292193,0.01062979,12.95,77.54
12.95_77.7,2024-04-09 00:00:00+00:00,0.2816382,0.029446753,12.95,77.7
12.965_77.535,2024-04-09 00:00:00+00:00,0.09844823,0.0123421615,12.965,77.535
12.965_77.54,2024-04-09 00:00:00+00:00,0.19520052,0.017568002,12.965,77.54
12.965_77.555,2024-04-09 00:00:00+00:00,0.07721686,0.011111329,12.965,77.555
12.965_77.575,2024-04-09 00:00:00+00:00,17.098166,0.67114234,12.965,77.575
12.965_77.58,2024-04-09 00:00:00+00:00,3.0361083,0.28445992,12.965,77.58
12.965_77.585,2024-04-09 00:00:00+00:00,0.7081138,0.04717537,12.965,77.585
12.965_77.64,2024-04-09 00:00:00+00:00,0.08834706,0.011270281,12.965,77.64
12.965_77.715,2024-04-09 00:00:00+00:00,0.06824377,0.008614855,12.965,77.715
12.965_77.72,2024-04-09 00:00:00+00:00,0.07082632,0.0074967635,12.965,77.72
12.96_77.51,2024-04-09 00:00:00+00:00,0.05177759,0.0072471485,12.96,77.51
12.96_77.53,2024-04-09 00:00:00+00:00,0.0294624,0.0021535975,12.96,77.53
