shift_date,shift,zone_id,zone_lat,zone_lon,predicted_EIS
2024-04-09,evening (14:00-22:00),12.975_77.575,12.975,77.575,14.41031
2024-04-09,evening (14:00-22:00),13.01_77.555,13.01,77.555,13.466151
2024-04-09,evening (14:00-22:00),12.98_77.61,12.98,77.61,12.169284
2024-04-09,evening (14:00-22:00),12.965_77.575,12.965,77.575,11.551935
2024-04-09,evening (14:00-22:00),13.185_77.68,13.185,77.68,9.798482
2024-04-09,evening (14:00-22:00),12.98_77.575,12.98,77.575,9.102764
2024-04-09,evening (14:00-22:00),12.975_77.58,12.975,77.58,6.530206
2024-04-09,evening (14:00-22:00),12.935_77.615,12.935,77.615,6.265665
2024-04-09,evening (14:00-22:00),12.975_77.55,12.975,77.55,5.739317
2024-04-09,evening (14:00-22:00),13.01_77.695,13.01,77.695,5.021186
2024-04-09,evening (14:00-22:00),13.0_77.55,13.0,77.55,4.5060525
2024-04-09,evening (14:00-22:00),12.96_77.58,12.96,77.58,4.496308
2024-04-09,evening (14:00-22:00),12.99_77.555,12.99,77.555,4.2549663
2024-04-09,evening (14:00-22:00),12.985_77.61,12.985,77.61,4.099776
2024-04-09,evening (14:00-22:00),12.935_77.69,12.935,77.69,4.0751915
2024-04-09,evening (14:00-22:00),13.07_77.59,13.07,77.59,3.9639158
2024-04-09,evening (14:00-22:00),12.995_77.695,12.995,77.695,3.6912751
2024-04-09,evening (14:00-22:00),12.84_77.645,12.84,77.645,3.442251
2024-04-09,evening (14:00-22:00),12.96_77.575,12.96,77.575,3.270712
2024-04-09,evening (14:00-22:00),12.985_77.605,12.985,77.605,3.205488
2024-04-09,evening (14:00-22:00),12.995_77.67,12.995,77.67,3.2007625
2024-04-09,evening (14:00-22:00),12.98_77.605,12.98,77.605,3.0248377
2024-04-09,evening (14:00-22:00),13.01_77.55,13.01,77.55,2.935882
2024-04-09,evening (14:00-22:00),12.95_77.7,12.95,77.7,2.6960268
2024-04-09,evening (14:00-22:00),12.965_77.58,12.965,77.58,2.6158955
2024-04-09,evening (14:00-22:00),12.965_77.585,12.965,77.585,2.563726
2024-04-09,evening (14:00-22:00),12.975_77.545,12.975,77.545,2.5400844
2024-04-09,evening (14:00-22:00),12.945_77.57,12.945,77.57,2.5318332
2024-04-09,evening (14:00-22:00),12.98_77.58,12.98,77.58,2.3995528
2024-04-09,evening (14:00-22:00),13.0_77.57,13.0,77.57,2.2649286
2024-04-09,evening (14:00-22:00),12.97_77.575,12.97,77.575,2.2135177
2024-04-09,evening (14:00-22:00),12.94_77.695,12.94,77.695,2.20521
2024-04-09,evening (14:00-22:00),12.965_77.54,12.965,77.54,2.1056085
2024-04-09,evening (14:00-22:00),13.035_77.59,13.035,77.59,2.0702484
2024-04-09,evening (14:00-22:00),13.005_77.57,13.005,77.57,2.0687008
2024-04-09,evening (14:00-22:00),12.985_77.555,12.985,77.555,2.0471132
2024-04-09,evening (14:00-22:00),13.05_77.575,13.05,77.575,1.9262155
2024-04-09,evening (14:00-22:00),13.0_77.675,13.0,77.675,1.8201916
2024-04-09,evening (14:00-22:00),12.995_77.66,12.995,77.66,1.7838434
2024-04-09,evening (14:00-22:00),12.97_77.58,12.97,77.58,1.743007
2024-04-09,evening (14:00-22:00),12.975_77.56,12.975,77.56,1.7238629
2024-04-09,evening (14:00-22:00),13.0_77.555,13.0,77.555,1.5972009
2024-04-09,evening (14:00-22:00),12.975_77.57,12.975,77.57,1.5666709
2024-04-09,evening (14:00-22:00),12.995_77.555,12.995,77.555,1.4856291
2024-04-09,evening (14:00-22:00),12.98_77.6,12.98,77.6,1.3343407
2024-04-09,evening (14:00-22:00),12.955_77.545,12.955,77.545,1.2386863
2024-04-09,evening (14:00-22:00),12.94_77.585,12.94,77.585,1.218318
2024-04-09,evening (14:00-22:00),13.015_77.555,13.015,77.555,1.2181351
2024-04-09,evening (14:00-22:00),12.995_77.57,12.995,77.57,1.2178875
2024-04-09,evening (14:00-22:00),13.01_77.57,13.01,77.57,1.1567285
2024-04-09,evening (14:00-22:00),12.99_77.55,12.99,77.55,1.1505305
2024-04-09,evening (14:00-22:00),12.93_77.685,12.93,77.685,1.1299146
2024-04-09,evening (14:00-22:00),12.93_77.585,12.93,77.585,1.0706737
2024-04-09,evening (14:00-22:00),12.93_77.58,12.93,77.58,1.059072
2024-04-09,evening (14:00-22:00),12.905_77.63,12.905,77.63,1.0479709
2024-04-09,evening (14:00-22:00),13.02_77.53,13.02,77.53,0.98370254
2024-04-09,evening (14:00-22:00),12.995_77.55,12.995,77.55,0.9543613
2024-04-09,evening (14:00-22:00),13.005_77.55,13.005,77.55,0.84608567
2024-04-09,evening (14:00-22:00),12.96_77.53,12.96,77.53,0.8063795
2024-04-09,evening (14:00-22:00),12.97_77.535,12.97,77.535,0.75807333
2024-04-09,evening (14:00-22:00),12.97_77.6,12.97,77.6,0.74531645
2024-04-09,evening (14:00-22:00),12.965_77.72,12.965,77.72,0.7052771
2024-04-09,evening (14:00-22:00),12.945_77.595,12.945,77.595,0.6708558
2024-04-09,evening (14:00-22:00),12.995_77.665,12.995,77.665,0.627436
2024-04-09,evening (14:00-22:00),12.99_77.59,12.99,77.59,0.6207663
2024-04-09,evening (14:00-22:00),13.025_77.585,13.025,77.585,0.61254823
2024-04-09,evening (14:00-22:00),12.99_77.575,12.99,77.575,0.6108685
2024-04-09,evening (14:00-22:00),12.925_77.585,12.925,77.585,0.61004394
2024-04-09,evening (14:00-22:00),13.045_77.575,13.045,77.575,0.5951769
2024-04-09,evening (14:00-22:00),12.97_77.64,12.97,77.64,0.5574499
2024-04-09,evening (14:00-22:00),13.005_77.685,13.005,77.685,0.5483329
2024-04-09,evening (14:00-22:00),12.985_77.55,12.985,77.55,0.53739685
2024-04-09,evening (14:00-22:00),12.925_77.68,12.925,77.68,0.53485256
2024-04-09,evening (14:00-22:00),13.0_77.61,13.0,77.61,0.51176614
2024-04-09,evening (14:00-22:00),12.965_77.64,12.965,77.64,0.4994827
2024-04-09,evening (14:00-22:00),12.99_77.54,12.99,77.54,0.48433656
2024-04-09,evening (14:00-22:00),12.9_77.675,12.9,77.675,0.48429567
2024-04-09,evening (14:00-22:00),12.97_77.645,12.97,77.645,0.48213455
2024-04-09,evening (14:00-22:00),12.915_77.635,12.915,77.635,0.4819888
2024-04-09,evening (14:00-22:00),12.965_77.535,12.965,77.535,0.47751927
2024-04-09,evening (14:00-22:00),12.965_77.555,12.965,77.555,0.4730756
2024-04-09,evening (14:00-22:00),12.975_77.61,12.975,77.61,0.46899703
2024-04-09,evening (14:00-22:00),12.91_77.635,12.91,77.635,0.46510482
2024-04-09,evening (14:00-22:00),12.955_77.585,12.955,77.585,0.46444035
2024-04-09,evening (14:00-22:00),12.985_77.6,12.985,77.6,0.4613573
2024-04-09,evening (14:00-22:00),12.98_77.615,12.98,77.615,0.46101132
2024-04-09,evening (14:00-22:00),12.975_77.62,12.975,77.62,0.45047346
2024-04-09,evening (14:00-22:00),12.935_77.585,12.935,77.585,0.44558513
2024-04-09,evening (14:00-22:00),12.97_77.66,12.97,77.66,0.4391793
2024-04-09,evening (14:00-22:00),12.99_77.6,12.99,77.6,0.43504846
