zone_id,zone_lat,zone_lon,predicted_EIS
12.975_77.58,12.975,77.58,1035.5468
12.98_77.61,12.98,77.61,994.94226
12.98_77.575,12.98,77.575,929.9832
12.965_77.575,12.965,77.575,922.60876
12.975_77.575,12.975,77.575,913.823
13.01_77.555,13.01,77.555,726.2261
13.0_77.55,13.0,77.55,577.22107
12.935_77.69,12.935,77.69,520.8999
12.98_77.58,12.98,77.58,502.02292
13.01_77.695,13.01,77.695,497.4147
12.965_77.58,12.965,77.58,478.08084
12.985_77.605,12.985,77.605,434.2217
13.07_77.59,13.07,77.59,419.08386
12.98_77.605,12.98,77.605,405.33646
12.97_77.575,12.97,77.575,403.85226
13.185_77.68,13.185,77.68,385.25732
12.995_77.67,12.995,77.67,382.37515
12.975_77.545,12.975,77.545,376.07898
12.985_77.61,12.985,77.61,350.75443
12.965_77.585,12.965,77.585,347.9018
